,DMDUNIT,LOC,STARTDATE,WEEK,SALES,Date,Normalized
0,G1010,G1010_L0,2016-06-11,1,236.0,2016-06-18,0.7539936102236422
527,G1010,G1010_L0,2016-06-11,2,254.0,2016-06-25,0.8115015974440895
1054,G1010,G1010_L0,2016-06-11,3,220.0,2016-07-02,0.7028753993610224
1581,G1010,G1010_L0,2016-06-11,4,214.0,2016-07-09,0.6837060702875399
2108,G1010,G1010_L0,2016-06-11,5,188.0,2016-07-16,0.6006389776357828
2635,G1010,G1010_L0,2016-06-11,6,167.0,2016-07-23,0.5335463258785943
3162,G1010,G1010_L0,2016-06-11,7,152.0,2016-07-30,0.48562300319488816
3689,G1010,G1010_L0,2016-06-11,8,141.0,2016-08-06,0.4504792332268371
4216,G1010,G1010_L0,2016-06-11,9,120.0,2016-08-13,0.38338658146964855
4743,G1010,G1010_L0,2016-06-11,10,85.0,2016-08-20,0.2715654952076677
5270,G1010,G1010_L0,2016-06-11,11,114.0,2016-08-27,0.36421725239616615
5797,G1010,G1010_L0,2016-06-11,12,109.0,2016-09-03,0.34824281150159747
6324,G1010,G1010_L0,2016-06-11,13,105.0,2016-09-10,0.3354632587859425
6851,G1010,G1010_L0,2016-06-11,14,42.0,2016-09-17,0.134185303514377
7378,G1010,G1010_L0,2016-06-11,15,46.0,2016-09-24,0.14696485623003194
7905,G1010,G1010_L0,2016-06-11,16,43.0,2016-10-01,0.13738019169329074
8432,G1010,G1010_L0,2016-06-11,17,27.0,2016-10-08,0.08626198083067092
8959,G1010,G1010_L0,2016-06-11,18,20.0,2016-10-15,0.06389776357827476
9486,G1010,G1010_L0,2016-06-11,19,32.0,2016-10-22,0.10223642172523961
10013,G1010,G1010_L0,2016-06-11,20,31.0,2016-10-29,0.09904153354632587
10540,G1010,G1010_L0,2016-06-11,21,37.0,2016-11-05,0.1182108626198083
11067,G1010,G1010_L0,2016-06-11,22,37.0,2016-11-12,0.1182108626198083
11594,G1010,G1010_L0,2016-06-11,23,29.0,2016-11-19,0.0926517571884984
12121,G1010,G1010_L0,2016-06-11,24,9.0,2016-11-26,0.02875399361022364
12648,G1010,G1010_L0,2016-06-11,25,10.0,2016-12-03,0.03194888178913738
13175,G1010,G1010_L0,2016-06-11,26,15.0,2016-12-10,0.04792332268370607
13702,G1010,G1010_L0,2016-06-11,27,11.0,2016-12-17,0.03514376996805112
14229,G1010,G1010_L0,2016-06-11,28,7.0,2016-12-24,0.022364217252396165
14756,G1010,G1010_L0,2016-06-11,29,6.0,2016-12-31,0.019169329073482427
15283,G1010,G1010_L0,2016-06-11,30,4.0,2017-01-07,0.012779552715654952
15810,G1010,G1010_L0,2016-06-11,31,4.0,2017-01-14,0.012779552715654952
16337,G1010,G1010_L0,2016-06-11,32,15.0,2017-01-21,0.04792332268370607
16864,G1010,G1010_L0,2016-06-11,33,8.0,2017-01-28,0.025559105431309903
17391,G1010,G1010_L0,2016-06-11,34,12.0,2017-02-04,0.038338658146964855
17918,G1010,G1010_L0,2016-06-11,35,35.0,2017-02-11,0.11182108626198083
18445,G1010,G1010_L0,2016-06-11,36,27.0,2017-02-18,0.08626198083067092
18972,G1010,G1010_L0,2016-06-11,37,25.0,2017-02-25,0.07987220447284345
19499,G1010,G1010_L0,2016-06-11,38,46.0,2017-03-04,0.14696485623003194
20026,G1010,G1010_L0,2016-06-11,39,65.0,2017-03-11,0.20766773162939298
20553,G1010,G1010_L0,2016-06-11,40,62.0,2017-03-18,0.19808306709265175
21080,G1010,G1010_L0,2016-06-11,41,126.0,2017-03-25,0.402555910543131
21607,G1010,G1010_L0,2016-06-11,42,134.0,2017-04-01,0.4281150159744409
22134,G1010,G1010_L0,2016-06-11,43,190.0,2017-04-08,0.6070287539936102
22661,G1010,G1010_L0,2016-06-11,44,149.0,2017-04-15,0.476038338658147
23188,G1010,G1010_L0,2016-06-11,45,154.0,2017-04-22,0.49201277955271566
23715,G1010,G1010_L0,2016-06-11,46,201.0,2017-04-29,0.6421725239616614
24242,G1010,G1010_L0,2016-06-11,47,179.0,2017-05-06,0.5718849840255591
24769,G1010,G1010_L0,2016-06-11,48,190.0,2017-05-13,0.6070287539936102
25296,G1010,G1010_L0,2016-06-11,49,213.0,2017-05-20,0.6805111821086262
25823,G1010,G1010_L0,2016-06-11,50,275.0,2017-05-27,0.8785942492012779
26350,G1010,G1010_L0,2016-06-11,51,238.0,2017-06-03,0.7603833865814696
26877,G1010,G1010_L0,2016-06-11,52,227.0,2017-06-10,0.7252396166134185
27404,G1010,G1010_L0,2016-06-11,53,212.0,2017-06-17,0.6773162939297125
27931,G1010,G1010_L0,2016-06-11,54,247.0,2017-06-24,0.7891373801916933
28458,G1010,G1010_L0,2016-06-11,55,197.0,2017-07-01,0.6293929712460063
28985,G1010,G1010_L0,2016-06-11,56,163.0,2017-07-08,0.5207667731629393
29512,G1010,G1010_L0,2016-06-11,57,155.0,2017-07-15,0.4952076677316294
30039,G1010,G1010_L0,2016-06-11,58,133.0,2017-07-22,0.4249201277955272
30566,G1010,G1010_L0,2016-06-11,59,131.0,2017-07-29,0.4185303514376997
31093,G1010,G1010_L0,2016-06-11,60,108.0,2017-08-05,0.3450479233226837
31620,G1010,G1010_L0,2016-06-11,61,59.0,2017-08-12,0.18849840255591055
32147,G1010,G1010_L0,2016-06-11,62,67.0,2017-08-19,0.21405750798722045
32674,G1010,G1010_L0,2016-06-11,63,80.0,2017-08-26,0.25559105431309903
33201,G1010,G1010_L0,2016-06-11,64,86.0,2017-09-02,0.2747603833865815
33728,G1010,G1010_L0,2016-06-11,65,46.0,2017-09-09,0.14696485623003194
34255,G1010,G1010_L0,2016-06-11,66,53.0,2017-09-16,0.16932907348242812
34782,G1010,G1010_L0,2016-06-11,67,50.0,2017-09-23,0.1597444089456869
35309,G1010,G1010_L0,2016-06-11,68,49.0,2017-09-30,0.15654952076677317
35836,G1010,G1010_L0,2016-06-11,69,60.0,2017-10-07,0.19169329073482427
36363,G1010,G1010_L0,2016-06-11,70,45.0,2017-10-14,0.14376996805111822
36890,G1010,G1010_L0,2016-06-11,71,40.0,2017-10-21,0.12779552715654952
37417,G1010,G1010_L0,2016-06-11,72,31.0,2017-10-28,0.09904153354632587
37944,G1010,G1010_L0,2016-06-11,73,22.0,2017-11-04,0.07028753993610223
38471,G1010,G1010_L0,2016-06-11,74,20.0,2017-11-11,0.06389776357827476
38998,G1010,G1010_L0,2016-06-11,75,27.0,2017-11-18,0.08626198083067092
39525,G1010,G1010_L0,2016-06-11,76,16.0,2017-11-25,0.051118210862619806
40052,G1010,G1010_L0,2016-06-11,77,16.0,2017-12-02,0.051118210862619806
40579,G1010,G1010_L0,2016-06-11,78,14.0,2017-12-09,0.04472843450479233
41106,G1010,G1010_L0,2016-06-11,79,0.0,2017-12-16,0.0
41633,G1010,G1010_L0,2016-06-11,80,24.0,2017-12-23,0.07667731629392971
42160,G1010,G1010_L0,2016-06-11,81,11.0,2017-12-30,0.03514376996805112
42687,G1010,G1010_L0,2016-06-11,82,17.0,2018-01-06,0.054313099041533544
43214,G1010,G1010_L0,2016-06-11,83,21.0,2018-01-13,0.0670926517571885
43741,G1010,G1010_L0,2016-06-11,84,29.0,2018-01-20,0.0926517571884984
44268,G1010,G1010_L0,2016-06-11,85,12.0,2018-01-27,0.038338658146964855
44795,G1010,G1010_L0,2016-06-11,86,30.0,2018-02-03,0.09584664536741214
45322,G1010,G1010_L0,2016-06-11,87,26.0,2018-02-10,0.08306709265175719
45849,G1010,G1010_L0,2016-06-11,88,20.0,2018-02-17,0.06389776357827476
46376,G1010,G1010_L0,2016-06-11,89,31.0,2018-02-24,0.09904153354632587
46903,G1010,G1010_L0,2016-06-11,90,29.0,2018-03-03,0.0926517571884984
47430,G1010,G1010_L0,2016-06-11,91,30.0,2018-03-10,0.09584664536741214
47957,G1010,G1010_L0,2016-06-11,92,28.0,2018-03-17,0.08945686900958466
48484,G1010,G1010_L0,2016-06-11,93,39.0,2018-03-24,0.12460063897763578
49011,G1010,G1010_L0,2016-06-11,94,60.0,2018-03-31,0.19169329073482427
49538,G1010,G1010_L0,2016-06-11,95,92.0,2018-04-07,0.2939297124600639
50065,G1010,G1010_L0,2016-06-11,96,128.0,2018-04-14,0.40894568690095845
50592,G1010,G1010_L0,2016-06-11,97,117.0,2018-04-21,0.3738019169329074
51119,G1010,G1010_L0,2016-06-11,98,204.0,2018-04-28,0.6517571884984026
51646,G1010,G1010_L0,2016-06-11,99,182.0,2018-05-05,0.5814696485623003
52173,G1010,G1010_L0,2016-06-11,100,313.0,2018-05-12,1.0
52700,G1010,G1010_L0,2016-06-11,101,241.0,2018-05-19,0.7699680511182109
53227,G1010,G1010_L0,2016-06-11,102,259.0,2018-05-26,0.8274760383386581
53754,G1010,G1010_L0,2016-06-11,103,199.0,2018-06-02,0.6357827476038339
54281,G1010,G1010_L0,2016-06-11,104,179.0,2018-06-09,0.5718849840255591
1,G1010,G1010_L1,2016-06-11,1,640.0,2016-06-18,0.7720144752714113
528,G1010,G1010_L1,2016-06-11,2,681.0,2016-06-25,0.8214716525934861
1055,G1010,G1010_L1,2016-06-11,3,658.0,2016-07-02,0.7937273823884198
1582,G1010,G1010_L1,2016-06-11,4,459.0,2016-07-09,0.5536791314837153
2109,G1010,G1010_L1,2016-06-11,5,375.0,2016-07-16,0.45235223160434257
2636,G1010,G1010_L1,2016-06-11,6,404.0,2016-07-23,0.4873341375150784
3163,G1010,G1010_L1,2016-06-11,7,259.0,2016-07-30,0.31242460796139926
3690,G1010,G1010_L1,2016-06-11,8,272.0,2016-08-06,0.3281061519903498
4217,G1010,G1010_L1,2016-06-11,9,180.0,2016-08-13,0.21712907117008443
4744,G1010,G1010_L1,2016-06-11,10,140.0,2016-08-20,0.16887816646562123
5271,G1010,G1010_L1,2016-06-11,11,165.0,2016-08-27,0.19903498190591074
5798,G1010,G1010_L1,2016-06-11,12,116.0,2016-09-03,0.1399276236429433
6325,G1010,G1010_L1,2016-06-11,13,136.0,2016-09-10,0.1640530759951749
6852,G1010,G1010_L1,2016-06-11,14,103.0,2016-09-17,0.12424607961399277
7379,G1010,G1010_L1,2016-06-11,15,61.0,2016-09-24,0.0735826296743064
7906,G1010,G1010_L1,2016-06-11,16,60.0,2016-10-01,0.07237635705669482
8433,G1010,G1010_L1,2016-06-11,17,40.0,2016-10-08,0.04825090470446321
8960,G1010,G1010_L1,2016-06-11,18,44.0,2016-10-15,0.05307599517490953
9487,G1010,G1010_L1,2016-06-11,19,29.0,2016-10-22,0.03498190591073583
10014,G1010,G1010_L1,2016-06-11,20,15.0,2016-10-29,0.018094089264173704
10541,G1010,G1010_L1,2016-06-11,21,31.0,2016-11-05,0.03739445114595899
11068,G1010,G1010_L1,2016-06-11,22,30.0,2016-11-12,0.03618817852834741
11595,G1010,G1010_L1,2016-06-11,23,26.0,2016-11-19,0.031363088057901084
12122,G1010,G1010_L1,2016-06-11,24,7.0,2016-11-26,0.008443908323281062
12649,G1010,G1010_L1,2016-06-11,25,7.0,2016-12-03,0.008443908323281062
13176,G1010,G1010_L1,2016-06-11,26,5.0,2016-12-10,0.006031363088057901
13703,G1010,G1010_L1,2016-06-11,27,9.0,2016-12-17,0.010856453558504222
14230,G1010,G1010_L1,2016-06-11,28,4.0,2016-12-24,0.0048250904704463205
14757,G1010,G1010_L1,2016-06-11,29,2.0,2016-12-31,0.0024125452352231603
15284,G1010,G1010_L1,2016-06-11,30,0.0,2017-01-07,0.0
15811,G1010,G1010_L1,2016-06-11,31,4.0,2017-01-14,0.0048250904704463205
